RNG Seed:  999
Loading CelebA dataset (Download size: 1.4GB)
Files already downloaded and verified
CelebA loaded (162770 images)
Dataloader created: 1271 batches per epoch
Batch size: 128
Image size: 64 by 64
Total batches: 1271
[0/5][0/1271]	Loss_D: 1.6230	Loss_G: 5.8066	D(x): 0.5981	D(G(z)): 0.5731 / 0.0046
[0/5][50/1271]	Loss_D: 1.2349	Loss_G: 26.7655	D(x): 0.9851	D(G(z)): 0.6179 / 0.0000
[0/5][100/1271]	Loss_D: 0.2796	Loss_G: 5.9674	D(x): 0.9478	D(G(z)): 0.1457 / 0.0068
[0/5][150/1271]	Loss_D: 0.5336	Loss_G: 3.7981	D(x): 0.7538	D(G(z)): 0.1220 / 0.0370
[0/5][200/1271]	Loss_D: 0.4191	Loss_G: 4.3771	D(x): 0.7981	D(G(z)): 0.1165 / 0.0203
[0/5][250/1271]	Loss_D: 0.7117	Loss_G: 6.3957	D(x): 0.8557	D(G(z)): 0.3239 / 0.0041
[0/5][300/1271]	Loss_D: 0.4109	Loss_G: 4.7561	D(x): 0.8288	D(G(z)): 0.1494 / 0.0169
[0/5][350/1271]	Loss_D: 0.6327	Loss_G: 5.1391	D(x): 0.9392	D(G(z)): 0.3793 / 0.0143
[0/5][400/1271]	Loss_D: 0.8636	Loss_G: 5.8060	D(x): 0.8559	D(G(z)): 0.3778 / 0.0078
[0/5][450/1271]	Loss_D: 0.5632	Loss_G: 5.7949	D(x): 0.9297	D(G(z)): 0.3176 / 0.0131
[0/5][500/1271]	Loss_D: 0.5566	Loss_G: 4.6502	D(x): 0.8340	D(G(z)): 0.2163 / 0.0188
[0/5][550/1271]	Loss_D: 0.3244	Loss_G: 4.4407	D(x): 0.8954	D(G(z)): 0.1526 / 0.0211
[0/5][600/1271]	Loss_D: 0.6709	Loss_G: 3.9140	D(x): 0.7475	D(G(z)): 0.2318 / 0.0310
[0/5][650/1271]	Loss_D: 0.4922	Loss_G: 4.6525	D(x): 0.7594	D(G(z)): 0.1043 / 0.0220
[0/5][700/1271]	Loss_D: 0.4736	Loss_G: 3.5164	D(x): 0.7843	D(G(z)): 0.1275 / 0.0465
[0/5][750/1271]	Loss_D: 0.9915	Loss_G: 8.1573	D(x): 0.9375	D(G(z)): 0.5428 / 0.0006
[0/5][800/1271]	Loss_D: 0.4485	Loss_G: 6.2059	D(x): 0.9260	D(G(z)): 0.2584 / 0.0048
[0/5][850/1271]	Loss_D: 0.5535	Loss_G: 4.7355	D(x): 0.9499	D(G(z)): 0.3485 / 0.0154
[0/5][900/1271]	Loss_D: 0.6380	Loss_G: 7.6721	D(x): 0.9333	D(G(z)): 0.3747 / 0.0010
[0/5][950/1271]	Loss_D: 0.6641	Loss_G: 4.4494	D(x): 0.8051	D(G(z)): 0.2667 / 0.0221
[0/5][1000/1271]	Loss_D: 0.3039	Loss_G: 4.0477	D(x): 0.9232	D(G(z)): 0.1500 / 0.0371
[0/5][1050/1271]	Loss_D: 0.2812	Loss_G: 4.2941	D(x): 0.9259	D(G(z)): 0.1584 / 0.0235
[0/5][1100/1271]	Loss_D: 0.3560	Loss_G: 3.1311	D(x): 0.8088	D(G(z)): 0.0849 / 0.0980
[0/5][1150/1271]	Loss_D: 1.1281	Loss_G: 4.8925	D(x): 0.4549	D(G(z)): 0.0039 / 0.0181
[0/5][1200/1271]	Loss_D: 0.7240	Loss_G: 5.0670	D(x): 0.9043	D(G(z)): 0.3900 / 0.0142
[0/5][1250/1271]	Loss_D: 0.4846	Loss_G: 4.8318	D(x): 0.8655	D(G(z)): 0.2418 / 0.0157
[1/5][0/1271]	Loss_D: 0.7992	Loss_G: 2.8275	D(x): 0.6076	D(G(z)): 0.0247 / 0.1064
[1/5][50/1271]	Loss_D: 0.6707	Loss_G: 3.2650	D(x): 0.7090	D(G(z)): 0.1470 / 0.0732
[1/5][100/1271]	Loss_D: 0.4483	Loss_G: 4.5655	D(x): 0.8656	D(G(z)): 0.2143 / 0.0203
[1/5][150/1271]	Loss_D: 0.4101	Loss_G: 2.8064	D(x): 0.8046	D(G(z)): 0.1116 / 0.0972
[1/5][200/1271]	Loss_D: 1.0258	Loss_G: 2.3923	D(x): 0.4737	D(G(z)): 0.0175 / 0.1443
[1/5][250/1271]	Loss_D: 0.8046	Loss_G: 5.5140	D(x): 0.9262	D(G(z)): 0.4266 / 0.0122
[1/5][300/1271]	Loss_D: 0.3174	Loss_G: 3.2098	D(x): 0.8254	D(G(z)): 0.0778 / 0.0684
[1/5][350/1271]	Loss_D: 0.4235	Loss_G: 3.7150	D(x): 0.8595	D(G(z)): 0.1951 / 0.0417
[1/5][400/1271]	Loss_D: 0.4254	Loss_G: 4.2891	D(x): 0.8673	D(G(z)): 0.1979 / 0.0248
[1/5][450/1271]	Loss_D: 0.4992	Loss_G: 2.8537	D(x): 0.7237	D(G(z)): 0.0851 / 0.0874
[1/5][500/1271]	Loss_D: 0.6673	Loss_G: 4.4945	D(x): 0.8430	D(G(z)): 0.3296 / 0.0203
[1/5][550/1271]	Loss_D: 0.3018	Loss_G: 4.1512	D(x): 0.9256	D(G(z)): 0.1855 / 0.0218
[1/5][600/1271]	Loss_D: 0.5025	Loss_G: 3.5792	D(x): 0.6911	D(G(z)): 0.0298 / 0.0551
[1/5][650/1271]	Loss_D: 0.7547	Loss_G: 2.8385	D(x): 0.5764	D(G(z)): 0.0273 / 0.0917
[1/5][700/1271]	Loss_D: 0.4308	Loss_G: 4.1224	D(x): 0.8745	D(G(z)): 0.2259 / 0.0231
[1/5][750/1271]	Loss_D: 0.5934	Loss_G: 2.8457	D(x): 0.7790	D(G(z)): 0.1909 / 0.0925
[1/5][800/1271]	Loss_D: 0.4709	Loss_G: 4.9947	D(x): 0.9341	D(G(z)): 0.2957 / 0.0110
[1/5][850/1271]	Loss_D: 1.2268	Loss_G: 0.3915	D(x): 0.4187	D(G(z)): 0.0177 / 0.7170
[1/5][900/1271]	Loss_D: 0.4319	Loss_G: 2.9288	D(x): 0.7285	D(G(z)): 0.0395 / 0.0894
[1/5][950/1271]	Loss_D: 0.4260	Loss_G: 2.9359	D(x): 0.7807	D(G(z)): 0.1012 / 0.0816
[1/5][1000/1271]	Loss_D: 0.3046	Loss_G: 3.5182	D(x): 0.8107	D(G(z)): 0.0533 / 0.0433
[1/5][1050/1271]	Loss_D: 0.7151	Loss_G: 3.0203	D(x): 0.7111	D(G(z)): 0.2329 / 0.0791
[1/5][1100/1271]	Loss_D: 0.3745	Loss_G: 5.3672	D(x): 0.9272	D(G(z)): 0.2333 / 0.0074
[1/5][1150/1271]	Loss_D: 1.0548	Loss_G: 2.0643	D(x): 0.4667	D(G(z)): 0.0359 / 0.1975
[1/5][1200/1271]	Loss_D: 0.4603	Loss_G: 2.7426	D(x): 0.7224	D(G(z)): 0.0707 / 0.0950
[1/5][1250/1271]	Loss_D: 0.3158	Loss_G: 3.1145	D(x): 0.8318	D(G(z)): 0.0972 / 0.0626
[2/5][0/1271]	Loss_D: 0.6268	Loss_G: 2.1517	D(x): 0.6661	D(G(z)): 0.1033 / 0.1665
[2/5][50/1271]	Loss_D: 0.4458	Loss_G: 3.0646	D(x): 0.8146	D(G(z)): 0.1745 / 0.0693
[2/5][100/1271]	Loss_D: 0.8520	Loss_G: 1.5107	D(x): 0.5471	D(G(z)): 0.0395 / 0.2863
[2/5][150/1271]	Loss_D: 0.3199	Loss_G: 3.7923	D(x): 0.9207	D(G(z)): 0.1910 / 0.0350
[2/5][200/1271]	Loss_D: 0.5279	Loss_G: 4.3520	D(x): 0.8491	D(G(z)): 0.2558 / 0.0200
[2/5][250/1271]	Loss_D: 0.6677	Loss_G: 2.6722	D(x): 0.6312	D(G(z)): 0.0664 / 0.1255
[2/5][300/1271]	Loss_D: 1.2332	Loss_G: 2.4421	D(x): 0.4164	D(G(z)): 0.0365 / 0.1588
